,Price,Year,Make,Model,Kilometres
0,39399,2023,dodge,charger,13937
1,7494,2013,toyota,corolla,300622
2,45785,2020,bmw,x5,74851
3,94100,2024,dodge,durango,0
4,88140,2024,ford,mustang,33
5,9395,2015,subaru,forester,175078
6,72950,2022,dodge,durango,26576
7,8495,2017,hyundai,elantra gt,169830
8,12985,2019,mitsubishi,mirage,52123
9,18000,2021,kia,rio 5-door,36672
10,21499,2018,bmw,x1,101051
11,25349,2018,mercedes-benz,gla,41325
12,42499,2022,ford,edge,20645
13,49870,2023,volkswagen,atlas cross sport,19393
14,99888,2024,audi,sq8 e-tron,12000
15,23261,2017,toyota,rav4,171044
16,46900,2023,kia,telluride,60670
17,67000,2022,audi,s5,20553
18,79999,2022,audi,e-tron gt,47979
19,75970,2023,ford,f-150,26750
20,13951,2014,mercedes-benz,b-class,99857
21,16995,2019,toyota,c-hr,192197
22,56310,2024,ram,1500 classic,0
23,37810,2022,cadillac,xt5,84757
24,8900,2011,toyota,camry,202375
25,15824,2016,chevrolet,traverse,167344
26,19995,2017,chrysler,300,152393
27,32852,2021,mazda,cx-5,43411
28,53816,2022,ram,1500,26
29,25595,2021,honda,cr-v,31600
30,55870,2023,ram,1500 classic,44
31,67000,2022,audi,s5,20553
32,41995,2022,chevrolet,silverado 1500,56850
33,49449,2023,bmw,x3,40529
34,29990,2020,honda,accord,59990
35,57990,2024,ram,1500 classic,39
36,23850,2021,mazda,mazda3,74800
37,73980,2023,ford,f-150,19000
38,44860,2019,chevrolet,silverado 1500,80659
39,50990,2021,chevrolet,silverado 1500,45011
40,26745,2021,hyundai,veloster n,57350
41,19498,2021,chevrolet,trax,104752
42,34980,2021,toyota,rav4,47106
43,92222,2020,land rover,range rover sport,23814
44,49985,2023,volvo,xc60,14239
45,19495,2018,mazda,cx-5,102152
46,42000,2014,porsche,cayman,94230
47,38995,2023,nissan,ariya,28933
48,85288,2022,bmw,m4,19001
49,33900,2024,toyota,corolla,12568
50,43900,2021,ford,explorer,59208
51,23900,2012,bmw,6 series,98147
52,27499,2019,audi,q5,44617
53,48719,2023,ram,1500 classic,0
54,51745,2024,volkswagen,golf r,90
55,30995,2021,mercedes-benz,a-class,68078
56,22995,2023,mitsubishi,mirage,8965
57,30995,2022,subaru,ascent,52627
58,27595,2019,cadillac,xt4,85623
59,32888,2020,acura,ilx,20902
60,32996,2022,ford,bronco sport,34205
61,34850,2023,mitsubishi,outlander,27603
62,35850,2023,hyundai,elantra n,46741
63,36883,2024,toyota,corolla hatchback,37361
64,53954,2022,ford,f-150,92115
65,54990,2022,chevrolet,silverado 1500,47378
66,114090,2024,gmc,yukon xl,0
67,21799,2021,hyundai,elantra,65040
68,61944,2024,volvo,xc40 recharge pure electric,8707
69,59460,2024,jeep,wrangler,0
70,52019,2024,ford,escape,5
71,53990,2024,nissan,pathfinder,7478
